,fr,tr,us,boy,kilo,yas,k
0,0.0,1.0,0.0,130,30,10,0.0
1,0.0,1.0,0.0,125,36,11,0.0
2,0.0,1.0,0.0,135,34,10,1.0
3,0.0,1.0,0.0,133,30,9,1.0
4,0.0,1.0,0.0,129,38,12,0.0
5,0.0,1.0,0.0,180,90,30,0.0
6,0.0,1.0,0.0,190,80,25,0.0
7,0.0,1.0,0.0,175,90,35,0.0
8,0.0,1.0,0.0,177,60,22,1.0
9,0.0,0.0,1.0,185,105,33,0.0
10,0.0,0.0,1.0,165,55,27,1.0
11,0.0,0.0,1.0,155,50,44,1.0
12,0.0,0.0,1.0,160,58,39,1.0
13,0.0,0.0,1.0,162,59,41,1.0
14,0.0,0.0,1.0,167,62,55,1.0
15,1.0,0.0,0.0,174,70,47,0.0
16,1.0,0.0,0.0,193,90,23,0.0
17,1.0,0.0,0.0,187,80,27,0.0
18,1.0,0.0,0.0,183,88,28,0.0
19,1.0,0.0,0.0,159,40,29,1.0
20,1.0,0.0,0.0,164,66,32,1.0
21,1.0,0.0,0.0,166,56,42,1.0
